City,Cuisine,Restaurant_Count,Avg_Rating,Avg_Cost_INR
Abu Dhabi,Indian,7,4.214285714285714,4618.114285714286
Abu Dhabi,American,4,4.449999999999999,5865.75
Abu Dhabi,Chinese,3,4.2,6083.0
Abu Dhabi,North Indian,3,4.3,4779.5
Abu Dhabi,Arabian,2,4.15,1824.9
Abu Dhabi,Asian,2,4.55,3649.8
Abu Dhabi,Italian,2,4.25,4953.3
Abu Dhabi,Japanese,2,4.45,5865.75
Abu Dhabi,Middle Eastern,2,4.15,1824.9
Abu Dhabi,Pizza,2,4.25,4953.3
Abu Dhabi,Afghani,1,4.0,1303.5
Abu Dhabi,Biryani,1,4.0,3128.4
Abu Dhabi,Burger,1,4.2,2607.0
Abu Dhabi,Desserts,1,4.6,5214.0
Abu Dhabi,Fast Food,1,4.2,2607.0
Abu Dhabi,Filipino,1,4.5,2607.0
Abu Dhabi,Hyderabadi,1,4.0,1303.5
Abu Dhabi,Indonesian,1,4.4,9124.5
Abu Dhabi,Lebanese,1,4.0,1824.9
Abu Dhabi,Mexican,1,4.0,6517.5
Abu Dhabi,Mughlai,1,4.0,3128.4
Abu Dhabi,Pakistani,1,4.0,1303.5
Abu Dhabi,Seafood,1,4.0,6517.5
Abu Dhabi,South Indian,1,3.6,1564.2
Abu Dhabi,Thai,1,4.4,9124.5
Abu Dhabi,Turkish,1,4.3,1824.9
Abu Dhabi,Vietnamese,1,4.4,9124.5
Agra,North Indian,15,3.9466666666666668,1150.0
Agra,Mughlai,9,3.822222222222222,1550.0
Agra,Chinese,6,4.066666666666666,866.6666666666666
Agra,Continental,5,3.84,840.0
Agra,Italian,3,4.166666666666667,666.6666666666666
Agra,Cafe,2,4.4,300.0
Agra,Rajasthani,2,3.8,600.0
Agra,Desserts,1,4.1,550.0
Agra,European,1,4.0,2000.0
Agra,Fast Food,1,4.1,700.0
Agra,Gujarati,1,3.6,800.0
Agra,Mexican,1,3.9,300.0
Agra,Pizza,1,4.4,700.0
Agra,South Indian,1,4.1,550.0
Ahmedabad,Continental,12,4.058333333333334,975.0
Ahmedabad,Italian,10,4.220000000000001,875.0
Ahmedabad,North Indian,9,4.011111111111111,1061.111111111111
Ahmedabad,Desserts,6,4.266666666666667,641.6666666666666
Ahmedabad,Cafe,5,4.1,770.0
Ahmedabad,Chinese,5,4.0200000000000005,1080.0
Ahmedabad,Fast Food,4,4.1,575.0
Ahmedabad,Beverages,3,4.266666666666667,850.0
Ahmedabad,Mexican,3,4.033333333333333,900.0
Ahmedabad,Pizza,3,4.233333333333333,700.0
Ahmedabad,South Indian,3,4.033333333333333,1016.6666666666666
Ahmedabad,Asian,2,3.8499999999999996,1300.0
Ahmedabad,Ice Cream,2,4.55,325.0
Ahmedabad,Mediterranean,2,4.35,925.0
Ahmedabad,American,1,3.9,550.0
Ahmedabad,Armenian,1,3.9,550.0
Ahmedabad,Burger,1,4.5,950.0
Ahmedabad,Healthy Food,1,4.5,950.0
Ahmedabad,Sandwich,1,3.8,600.0
Ahmedabad,Street Food,1,4.4,450.0
Ahmedabad,Thai,1,4.2,900.0
Albany,American,4,3.425,1669.675
Albany,Steak,4,3.525,4174.1875
Albany,Bar Food,3,3.6666666666666665,4293.45
Albany,Chinese,3,3.766666666666667,1431.1499999999999
Albany,Sandwich,3,3.533333333333333,1908.2
Albany,Seafood,3,3.5666666666666664,2862.2999999999997
Albany,Unknown,3,3.5666666666666664,954.1
Albany,BBQ,2,3.3,1669.675
Albany,Burger,2,3.4,2385.25
Albany,Japanese,2,3.55,3816.4
Albany,Pizza,2,3.7,1669.675
Albany,Sushi,2,3.55,3816.4
Albany,Tapas,2,3.65,5247.55
Albany,Vegetarian,2,3.75,1669.675
Albany,Asian,1,3.9,954.1
Albany,Breakfast,1,3.4,954.1
Albany,Coffee and Tea,1,3.4,954.1
Albany,Diner,1,3.4,954.1
Albany,Fast Food,1,3.5,954.1
Albany,Italian,1,3.7,954.1
Albany,Mexican,1,3.4,954.1
Allahabad,North Indian,12,3.375,516.6666666666666
Allahabad,Chinese,8,3.3625,525.0
Allahabad,Fast Food,8,3.3875,456.25
Allahabad,South Indian,4,3.425,500.0
Allahabad,Italian,3,3.4333333333333336,633.3333333333334
Allahabad,American,2,3.4,450.0
Allahabad,Continental,2,3.55,700.0
Allahabad,Mughlai,2,3.25,800.0
Allahabad,Cafe,1,3.3,350.0
Allahabad,Desserts,1,3.6,500.0
Allahabad,Healthy Food,1,3.4,400.0
Allahabad,Pizza,1,3.4,700.0
Allahabad,Salad,1,3.4,400.0
Allahabad,Street Food,1,3.2,500.0
Amritsar,North Indian,15,3.6466666666666665,580.0
Amritsar,Fast Food,6,3.6,441.6666666666667
Amritsar,Chinese,4,3.45,800.0
Amritsar,Mughlai,2,3.4,1000.0
Amritsar,Street Food,2,3.75,175.0
Amritsar,Bakery,1,3.4,500.0
Amritsar,Beverages,1,4.0,100.0
Amritsar,Cafe,1,3.4,500.0
Amritsar,Italian,1,3.5,400.0
Amritsar,Mithai,1,4.1,100.0
Amritsar,South Indian,1,3.4,600.0
Ankara,Kebab,10,4.38,149.04
Ankara,Turkish Pizza,8,4.325,139.725
Ankara,Cafe,4,4.125,131.96249999999998
Ankara,Desserts,3,4.3,120.74999999999999
Ankara,World Cuisine,2,4.65,238.05
Ankara,Coffee and Tea,1,3.4,103.5
Ankara,Doner,1,4.4,103.5
Ankara,Italian,1,4.4,310.5
Ankara,Izgara,1,4.4,124.2
Ankara,Mexican,1,4.4,310.5
Ankara,Patisserie,1,3.4,103.5
Ankara,Pizza,1,4.7,82.8
Ankara,Steak,1,4.1,827.9999999999999
Armidale,Bar Food,1,3.5,1908.2
Armidale,Steak,1,3.5,1908.2
Athens,American,5,4.220000000000001,2671.48
Athens,Sandwich,5,4.14,954.1
Athens,Italian,4,4.15,2385.25
Athens,Southern,4,4.325,2385.25
Athens,Burger,3,4.033333333333334,1431.1499999999999
Athens,Pizza,3,4.166666666666667,1908.2
Athens,Bar Food,2,4.300000000000001,1669.675
Athens,Breakfast,2,4.0,954.1
Athens,International,2,4.15,2385.25
Athens,Japanese,2,4.05,1669.675
Athens,Mexican,2,4.35,954.1
Athens,Argentine,1,4.1,954.1
Athens,Asian,1,4.2,2385.25
Athens,Desserts,1,4.1,954.1
Athens,Korean,1,3.9,954.1
Athens,Latin American,1,4.1,954.1
Athens,Southwestern,1,4.5,3816.4
Athens,Spanish,1,4.1,954.1
Athens,Sushi,1,4.2,2385.25
Athens,Vegetarian,1,4.2,954.1
Auckland,Cafe,5,4.26,3393.4300000000003
Auckland,European,4,3.8,6119.3
Auckland,Desserts,3,4.833333333333333,1761.6166666666668
Auckland,American,2,4.35,3476.875
Auckland,Asian,2,4.0,3476.875
Auckland,Asian Fusion,2,3.85,4450.4
Auckland,Kiwi,2,4.5,5006.7
Auckland,Malaysian,2,3.75,3615.95
Auckland,Seafood,2,4.65,4033.175
Auckland,Thai,2,3.9,3059.65
Auckland,Chinese,1,4.3,1947.05
Auckland,Filipino,1,3.5,3894.1
Auckland,Fusion,1,3.5,3894.1
Auckland,Ice Cream,1,4.7,1112.6
Auckland,Italian,1,4.6,6675.6
Auckland,Pub Food,1,3.5,3894.1
Auckland,Street Food,1,4.4,2781.5
Auckland,Sushi,1,4.5,3059.65
Auckland,Taiwanese,1,4.4,2781.5
Augusta,American,3,4.366666666666666,3339.35
Augusta,Mexican,3,4.133333333333334,1908.2
Augusta,Sandwich,3,4.1000000000000005,1908.2
Augusta,Seafood,3,4.3,2862.2999999999997
Augusta,Burger,2,3.95,2385.25
Augusta,Desserts,2,4.0,1669.675
Augusta,Italian,2,4.25,2385.25
Augusta,Pizza,2,4.25,2385.25
Augusta,Steak,2,4.3,3816.4
Augusta,BBQ,1,3.5,2385.25
Augusta,Bar Food,1,4.0,2385.25
Augusta,Breakfast,1,3.8,3816.4
Augusta,Caribbean,1,4.9,3816.4
Augusta,Chinese,1,4.6,3816.4
Augusta,French,1,3.8,3816.4
Augusta,German,1,3.9,2385.25
Augusta,Indian,1,4.0,2385.25
Augusta,International,1,4.5,2385.25
Augusta,Southern,1,3.9,954.1
Augusta,Southwestern,1,4.2,3816.4
Augusta,Sushi,1,4.2,3816.4
Augusta,Tapas,1,4.5,2385.25
Augusta,Thai,1,4.3,3339.35
Augusta,Vegetarian,1,4.5,2385.25
Augusta,Vietnamese,1,4.1,954.1
Aurangabad,North Indian,15,3.3866666666666663,643.3333333333334
Aurangabad,Chinese,9,3.388888888888889,761.1111111111111
Aurangabad,Continental,4,3.475,1112.5
Aurangabad,Italian,4,3.4,987.5
Aurangabad,Mughlai,4,3.3,587.5
Aurangabad,South Indian,4,3.3499999999999996,412.5
Aurangabad,Fast Food,3,3.3333333333333335,466.6666666666667
Aurangabad,Biryani,2,3.45,850.0
Aurangabad,Cafe,1,3.2,400.0
Aurangabad,Desserts,1,3.5,300.0
Aurangabad,Hyderabadi,1,3.3,500.0
Aurangabad,Juices,1,3.5,300.0
Aurangabad,Maharashtrian,1,3.4,450.0
Aurangabad,Mexican,1,3.4,1800.0
Aurangabad,Pizza,1,3.1,700.0
