City,Restaurant_Count,Avg_Rating,Median_Rating,Avg_Cost_INR,Median_Cost_INR,Avg_Price_Range,Total_Votes,Avg_Log_Votes,Delivery_Restaurants,Booking_Restaurants,Expensive_Restaurants,Valid_Coordinate_Count,Dominant_Cost_Category,Dominant_Rating_Category,Dominant_Popularity_Category,Most_Common_Cuisine,Unique_Cuisine_Count,Delivery_Percentage,Booking_Percentage,Expensive_Percentage
New Delhi,5473,2.4388452402704184,3.1,596.0880687008953,400.0,1.6215969303855289,628340,2.9954523290201336,1489,715,765,5240,Medium,Average,Low,North Indian,81,27.21,13.06,13.98
Gurgaon,1118,2.6514311270125224,3.2,714.0161001788908,500.0,1.8559928443649374,132160,3.2205663656925503,425,204,225,1070,Medium,Average,Low,North Indian,71,38.01,18.25,20.13
Noida,1080,2.0362037037037037,2.8,539.4907407407408,450.0,1.6018518518518519,73488,2.560159538129235,364,112,114,987,Medium,Average,Low,North Indian,49,33.7,10.37,10.56
Faridabad,251,1.8669322709163347,2.8,447.60956175298804,400.0,1.454183266932271,6486,2.0244262822721586,35,15,14,229,Medium,Average,Low,North Indian,30,13.94,5.98,5.58
Ghaziabad,25,2.852,3.2,602.0,500.0,1.8,2366,3.737777010557573,10,3,3,25,Medium,Average,Low,North Indian,14,40.0,12.0,12.0
Bhubaneshwar,21,3.9809523809523806,4.0,678.5714285714286,500.0,1.8571428571428572,4243,5.148465789083821,0,0,3,17,Medium,Good,Medium,Chinese,19,0.0,0.0,14.29
Guwahati,21,4.190476190476191,4.1,821.4285714285714,700.0,2.5238095238095237,4964,5.19894676509046,0,0,10,15,Medium,Excellent,High,Chinese,18,0.0,0.0,47.62
Lucknow,21,4.1952380952380945,4.2,859.5238095238095,1000.0,2.5714285714285716,9130,5.743681360024094,0,0,12,17,Premium,Excellent,High,Cafe,18,0.0,0.0,57.14
Ahmedabad,21,4.161904761904762,4.2,857.1428571428571,900.0,2.5714285714285716,12266,6.066987757474751,11,0,12,21,Premium,Excellent,High,Continental,21,52.38,0.0,57.14
Amritsar,21,3.6857142857142855,3.6,480.95238095238096,500.0,1.8095238095238095,3665,4.796511795822765,0,0,3,17,Medium,Average,Medium,North Indian,11,0.0,0.0,14.29
Valdosta,20,3.715,3.75,2790.7425,2385.25,2.25,4200,5.240497026821131,0,0,7,20,Luxury,Good,High,Mexican,21,0.0,0.0,35.0
Agra,20,3.965,3.95,1110.0,825.0,2.65,2062,4.5447040526761775,0,0,11,14,Premium,Good,Medium,North Indian,14,0.0,0.0,55.0
Nagpur,20,3.965,4.0,715.0,575.0,2.3,3456,4.846303809645396,10,0,8,19,Medium,Good,High,Chinese,13,50.0,0.0,40.0
Mysore,20,3.6950000000000003,3.7,814.5,700.0,2.45,4258,5.211586704569705,0,0,8,19,Medium,Good,High,North Indian,15,0.0,0.0,40.0
Mumbai,20,4.085,4.0,1072.5,1000.0,2.75,29697,6.810953670076368,7,9,15,20,Premium,Good,Very High,Italian,26,35.0,45.0,75.0
