City,Locality,Restaurant_Count,Avg_Rating,Avg_Cost_INR,Avg_Price_Range,Total_Votes,Most_Common_Cuisine
New Delhi,Connaught Place,122,3.6868852459016392,1175.0,2.598360655737705,128109,North Indian
New Delhi,Rajouri Garden,99,3.591919191919192,855.0505050505051,2.202020202020202,25692,North Indian
New Delhi,Shahdara,87,1.4137931034482758,290.8045977011494,1.1379310344827587,669,North Indian
New Delhi,Defence Colony,86,3.21046511627907,741.2790697674419,1.930232558139535,15598,North Indian
New Delhi,Pitampura,85,2.8705882352941177,449.4117647058824,1.4705882352941178,4049,North Indian
New Delhi,Malviya Nagar,84,3.417857142857143,633.3333333333334,1.7738095238095237,12088,North Indian
New Delhi,Mayur Vihar Phase 1,84,2.026190476190476,372.6190476190476,1.2976190476190477,1892,North Indian
New Delhi,Rajinder Nagar,81,2.94320987654321,439.75308641975306,1.4320987654320987,5171,North Indian
New Delhi,Safdarjung,80,2.80125,580.0,1.675,8837,North Indian
New Delhi,Satyaniketan,79,3.4822784810126586,537.9746835443038,1.620253164556962,16458,Chinese
New Delhi,Karol Bagh,76,3.0710526315789473,509.86842105263156,1.5657894736842106,7305,North Indian
Noida,Sector 62,76,1.9552631578947368,447.36842105263156,1.4210526315789473,2559,Chinese
New Delhi,Krishna Nagar,76,1.8710526315789473,359.86842105263156,1.263157894736842,1019,North Indian
Noida,Sector 18,75,3.3706666666666667,858.0,2.1333333333333333,22122,North Indian
New Delhi,Hauz Khas,74,2.5067567567567566,497.2972972972973,1.5405405405405406,5511,North Indian
New Delhi,Kalkaji,73,2.989041095890411,438.35616438356163,1.3835616438356164,3648,North Indian
Gurgaon,DLF Phase 3,69,3.201449275362319,440.57971014492756,1.434782608695652,3937,North Indian
New Delhi,Mahipalpur,69,1.0724637681159421,436.95652173913044,1.463768115942029,289,North Indian
New Delhi,Mukherjee Nagar,68,1.061764705882353,242.64705882352942,1.0735294117647058,216,North Indian
New Delhi,Chandni Chowk,67,2.7567164179104475,263.43283582089555,1.1194029850746268,6680,North Indian
New Delhi,Shalimar Bagh,67,2.1701492537313434,361.1940298507463,1.2238805970149254,1698,North Indian
New Delhi,Greater Kailash (GK) 1,66,3.696969696969697,900.0,2.212121212121212,10571,Fast Food
New Delhi,Greater Kailash (GK) 2,66,3.553030303030303,912.8787878787879,2.1818181818181817,13894,North Indian
New Delhi,Kamla Nagar,65,3.295384615384615,456.15384615384613,1.4461538461538461,5412,North Indian
