Location Cluster,Restaurant_Count,Avg_Rating,Avg_Cost_INR,Avg_Price_Range,Most_Common_Cuisine,Dominant_Cost_Category
0,1315,3.401825095057034,1954.5101368821292,2.314828897338403,North Indian,Luxury
3,832,2.8356971153846158,887.2742788461538,1.9927884615384615,North Indian,Medium
1,608,1.9817434210526317,768.6434539473684,1.756578947368421,North Indian,Medium
5,565,3.103716814159292,867.8583185840708,1.9486725663716815,North Indian,Medium
9,513,3.005458089668616,767.0153996101365,1.8596491228070176,North Indian,Medium
8,447,2.373601789709172,525.4543624161074,1.483221476510067,North Indian,Medium
13,424,2.6448113207547173,797.8270047169812,1.7971698113207548,North Indian,Medium
2,411,2.948175182481752,1113.1503649635035,1.9440389294403893,North Indian,Medium
12,387,2.355813953488372,548.7306201550388,1.503875968992248,North Indian,Medium
22,343,2.5104956268221574,547.7259475218659,1.6180758017492711,North Indian,Medium
16,317,2.815141955835962,581.5430599369085,1.586750788643533,North Indian,Medium
14,299,2.3916387959866223,492.84999999999997,1.4180602006688963,North Indian,Medium
25,287,2.615331010452962,650.8710801393728,1.7560975609756098,North Indian,Medium
27,275,2.449090909090909,550.5454545454545,1.6218181818181818,North Indian,Medium
10,265,2.829056603773585,672.7524528301886,1.739622641509434,North Indian,Medium
21,236,2.6813559322033895,485.8050847457627,1.4915254237288136,North Indian,Medium
7,234,2.486752136752137,777.7474358974358,1.705128205128205,North Indian,Medium
17,224,2.8723214285714285,683.5234375,1.6919642857142858,North Indian,Medium
19,217,2.1746543778801843,663.3387096774194,1.6820276497695852,North Indian,Medium
18,215,2.097674418604651,525.4274418604651,1.4465116279069767,North Indian,Budget
20,191,2.9528795811518322,1151.8324607329844,2.2198952879581153,North Indian,Medium
15,175,1.9514285714285715,874.2162857142857,1.9714285714285715,North Indian,Medium
23,170,1.7052941176470586,328.52941176470586,1.2176470588235293,North Indian,Budget
6,159,2.2540880503144654,710.8540880503144,1.6037735849056605,North Indian,Budget
4,147,2.566666666666667,940.0867346938776,1.816326530612245,North Indian,Budget
11,135,2.136296296296296,629.2944444444445,1.4962962962962962,North Indian,Budget
26,73,0.3287671232876712,300.0,1.1506849315068493,North Indian,Budget
28,40,1.8975000000000002,428.75,1.375,Chinese,Medium
24,26,1.7423076923076921,486.53846153846155,1.4615384615384615,Chinese,Medium
29,21,1.8857142857142857,464.2857142857143,1.4761904761904763,Chinese,Medium
