Cuisine,Restaurant_Count,Avg_Rating,Avg_Cost_INR,Avg_Price_Range
North Indian,3960,2.5104545454545453,699.2551893939393,1.8767676767676769
Chinese,2735,2.621023765996344,756.3263071297989,1.8936014625228519
Fast Food,1986,2.5630916414904332,452.7738670694864,1.4531722054380665
Mughlai,995,2.609949748743719,734.4345728643216,2.007035175879397
Italian,764,3.562041884816754,1460.917892670157,2.683246073298429
Bakery,745,2.4409395973154364,460.0909395973154,1.3838926174496644
Continental,736,3.5187500000000003,1355.4364809782608,2.779891304347826
Cafe,703,3.321194879089616,886.2464722617354,2.0312944523470837
Desserts,653,2.978866768759571,569.8950995405819,1.4946401225114854
South Indian,636,2.469811320754717,494.4315251572327,1.498427672955975
Street Food,562,2.356049822064057,302.70951957295375,1.1921708185053381
American,390,3.6615384615384614,2116.7491025641025,2.546153846153846
Pizza,381,2.921784776902887,1023.1807611548556,2.0656167979002626
Mithai,380,2.0736842105263156,257.63157894736844,1.1578947368421053
Burger,251,3.520717131474104,1213.0233864541833,2.0199203187250996
Thai,234,3.6598290598290597,1561.96452991453,2.7264957264957266
Asian,233,3.815021459227468,2166.673175965665,2.8626609442060085
Beverages,229,2.7401746724890828,467.7873362445415,1.3449781659388647
Ice Cream,226,2.5831858407079644,381.09557522123896,1.1017699115044248
Mexican,181,3.7232044198895027,1408.1917127071824,2.425414364640884
Biryani,177,2.4203389830508475,531.3943502824859,1.6327683615819208
Seafood,174,3.8620689655172415,3243.525,3.057471264367816
Healthy Food,150,3.0813333333333333,557.9103333333334,1.8466666666666667
European,148,3.9108108108108106,3120.8138513513513,3.358108108108108
Japanese,135,3.797037037037037,2773.2633333333333,3.066666666666667
Finger Food,114,3.276315789473684,1906.538596491228,3.3596491228070176
Raw Meats,114,2.1526315789473687,350.87719298245617,1.043859649122807
Mediterranean,112,3.9482142857142857,2496.1348214285713,3.0892857142857144
Salad,93,3.1655913978494623,589.1327956989247,1.956989247311828
Sushi,75,3.973333333333333,3016.3153333333335,2.96
Indian,70,3.9185714285714286,4586.935714285714,2.757142857142857
Lebanese,69,3.4333333333333336,1050.5304347826088,2.463768115942029
Steak,62,3.985483870967742,4388.568548387097,3.161290322580645
Sandwich,53,4.066037735849057,1917.495283018868,1.7924528301886793
Tea,48,2.81875,586.07125,1.4583333333333333
Tibetan,44,2.3022727272727272,543.1818181818181,1.6363636363636365
Breakfast,41,3.9658536585365853,1831.4065853658535,1.6585365853658536
Bar Food,39,3.9333333333333336,2254.8641025641023,2.4358974358974357
BBQ,33,3.9030303030303033,2276.719696969697,1.9696969696969697
French,29,3.8620689655172415,9253.508620689656,3.5172413793103448
Juices,29,2.993103448275862,479.8965517241379,1.6551724137931034
Bengali,29,3.006896551724138,686.2068965517242,1.8620689655172413
Arabian,28,3.3857142857142857,1248.482142857143,2.4285714285714284
Brazilian,28,3.567857142857143,2396.835714285714,3.2857142857142856
Hyderabadi,26,3.5153846153846158,850.1346153846154,2.230769230769231
Southern,24,4.129166666666666,2564.1437499999997,2.0833333333333335
Kerala,23,3.4782608695652173,959.6260869565218,1.9565217391304348
Vegetarian,23,4.073913043478261,1772.2239130434784,1.6521739130434783
Malaysian,22,3.7636363636363637,2081.745454545455,3.272727272727273
Middle Eastern,22,3.7636363636363637,1806.5045454545455,2.772727272727273
International,21,4.247619047619048,4700.052380952381,3.1904761904761907
Korean,21,3.6523809523809527,2465.5285714285715,3.0476190476190474
Rajasthani,21,3.1809523809523808,945.0619047619048,2.1904761904761907
Vietnamese,21,3.923809523809524,1939.0571428571427,2.6666666666666665
Grill,21,4.057142857142857,2925.5842857142857,3.380952380952381
Goan,20,3.97,1244.455,3.35
Kashmiri,20,2.935,1020.0,2.45
Tex-Mex,19,3.884210526315789,2021.113157894737,3.1052631578947367
Coffee and Tea,19,3.7947368421052627,1353.7321052631578,1.736842105263158
Tapas,19,4.131578947368421,3031.978947368421,3.0
Spanish,16,4.08125,2439.225,2.875
Modern Indian,16,4.28125,1956.25,3.375
British,16,4.1125,5924.625,2.9375
Turkish,15,3.5266666666666664,1744.6266666666668,2.4
Greek,15,3.6933333333333334,1966.62,2.1333333333333333
Afghani,14,1.9714285714285713,1065.7892857142856,1.9285714285714286
Indonesian,14,4.285714285714286,2013.142857142857,3.0714285714285716
Lucknowi,13,2.3846153846153846,826.9230769230769,2.076923076923077
Pakistani,12,3.7083333333333335,3598.2208333333333,3.0
Awadhi,11,1.5727272727272728,886.3636363636364,2.090909090909091
Gujarati,11,3.3545454545454545,704.5454545454545,2.0
Latin American,11,4.0636363636363635,3079.15,2.3636363636363638
Modern Australian,11,3.527272727272727,2896.9945454545455,2.3636363636363638
Chettinad,11,3.6727272727272724,1181.8181818181818,2.727272727272727
Burmese,10,4.05,1600.0,3.3
Kebab,10,4.38,149.04,2.8
Filipino,10,4.34,8886.91,3.3
German,10,3.97,2656.44,2.8
Western,10,4.14,1852.4099999999999,3.1
Cajun,10,4.2,2626.07,2.3
Maharashtrian,10,3.5700000000000003,460.0,1.7
