iter	RMSE
0	1.483034398
1	1.442167102
2	1.402906095
3	1.365584811
4	1.328928847
5	1.292794251
6	1.257846754
7	1.224317925
8	1.192652655
9	1.161016207
10	1.130811463
11	1.100824573
12	1.071708216
13	1.04448517
14	1.018262847
15	0.9920804284
16	0.9663667078
17	0.9417846323
18	0.9184047326
19	0.8956635647
20	0.8740687523
21	0.8525647906
22	0.8322069183
23	0.8123088346
24	0.7929207641
25	0.7744869816
26	0.7567013461
27	0.7395764411
28	0.7228074657
29	0.7064477037
30	0.6912821089
31	0.6769852271
32	0.6624697114
33	0.648311839
34	0.6347636523
35	0.6219166271
36	0.6096823195
37	0.5978684787
38	0.5862796656
39	0.5751111366
40	0.5642868172
41	0.5540483118
42	0.5441546772
43	0.534654307
44	0.525581252
45	0.5170082826
46	0.5084086419
47	0.500169014
48	0.4922614095
49	0.4849291373
50	0.4777124012
51	0.4708255552
52	0.4640294018
53	0.4576115605
54	0.4514442355
55	0.4455684928
56	0.4401921438
57	0.4347679575
58	0.429698097
59	0.4251590228
60	0.4207646072
61	0.4162314317
62	0.4118608685
63	0.4078250333
64	0.4038073397
65	0.3998697621
66	0.3965571011
67	0.3932294021
68	0.3900051867
69	0.3868313123
70	0.3838201073
71	0.3808209437
72	0.3780541887
73	0.3754899333
74	0.3729658089
75	0.3704900593
76	0.3679401398
77	0.3656578231
78	0.3636067086
79	0.3618330681
80	0.3599446664
81	0.3582979115
82	0.3565834483
83	0.3549823014
84	0.3533989547
85	0.3519193794
86	0.3503282736
87	0.3488445413
88	0.3473928899
89	0.3459804436
90	0.3445438527
91	0.3433368428
92	0.3421009689
93	0.3409491544
94	0.3400014429
95	0.3389286978
96	0.3379252633
97	0.3370015262
98	0.3362030519
99	0.335482051
100	0.334659289
101	0.3339597595
102	0.3331451505
103	0.3324413786
104	0.3317362528
105	0.3313104868
106	0.3306991491
107	0.3299909867
108	0.3294206027
109	0.3286430176
110	0.3280543883
111	0.3275560672
112	0.3266330931
113	0.32618286
114	0.3256450024
115	0.3250969795
116	0.3246954055
117	0.3242009017
118	0.3238040466
119	0.3234549054
120	0.3228018306
121	0.3224145362
122	0.3217558527
123	0.3210930338
124	0.3203063399
125	0.3195901132
126	0.3191542434
127	0.3187729288
128	0.3183402406
129	0.317986549
130	0.3177032059
131	0.3170640853
132	0.3164896733
133	0.3159196866
134	0.3154244318
135	0.3147974821
136	0.3143693354
137	0.3139589474
138	0.3135683526
139	0.3130732302
140	0.3126499355
141	0.3121561293
142	0.3115906643
143	0.3111104671
144	0.3108596267
145	0.3104203992
146	0.3100040984
147	0.3095779775
148	0.3091750764
149	0.3087546909
150	0.3083846171
151	0.3079535073
152	0.3076574551
153	0.3072132678
154	0.3069478128
155	0.3066402281
156	0.3063304859
157	0.3059671721
158	0.3056412406
159	0.3052946794
160	0.304993507
161	0.3047710025
162	0.3043732175
163	0.3040583621
164	0.3037947778
165	0.3035408724
166	0.3032374011
167	0.3030913859
168	0.3028679712
169	0.3026849014
170	0.3024807673
171	0.3022180364
172	0.3021267641
173	0.3018590267
174	0.3016607044
