iter	Passed	Remaining
0	78	234750
1	171	257442
2	333	333490
3	421	315843
4	482	288791
5	561	280261
6	641	274250
7	723	270619
8	788	261959
9	853	255283
10	883	239956
11	949	236335
12	1002	230322
13	1120	238986
14	1174	233812
15	1210	225783
16	1304	228863
17	1471	243751
18	1533	240590
19	1618	241146
20	1699	241061
21	1813	245440
22	1918	248369
23	2012	249507
24	2112	251440
25	2212	253072
26	2295	252721
27	2387	253441
28	2580	264329
29	2668	264156
30	2784	266710
31	2847	264063
32	2919	262499
33	3008	262440
34	3066	259810
35	3124	257219
36	3206	256773
37	3297	257034
38	3400	258140
39	3445	254980
40	3536	255238
41	3704	260891
42	3787	260428
43	3882	260813
44	3969	260669
45	4027	258620
46	4110	258258
47	4179	257011
48	4246	255715
49	4298	253629
50	4385	253590
51	4412	250137
52	4515	251080
53	4565	249086
54	4664	249754
55	4732	248788
56	4821	248934
57	4903	248725
58	4994	248986
59	5057	247823
60	5111	246284
61	5173	245151
62	5203	242586
63	5232	240043
64	5294	239077
65	5365	238518
66	5470	239485
67	5559	239715
68	5625	238976
69	5707	238904
70	5799	239247
71	5948	241920
72	6034	241957
73	6113	241721
74	6226	242849
75	6325	243376
76	6403	243099
77	6506	243730
78	6596	243885
79	6711	244982
80	6793	244827
81	6886	245067
82	7074	248637
83	7168	248846
84	7248	248576
85	7334	248521
86	7422	248517
87	7503	248282
88	7602	248652
89	7720	249632
90	7808	249614
91	7831	247548
92	7879	246312
93	7967	246310
94	8076	246985
95	8321	251739
96	8453	253004
97	8541	252929
98	8604	252139
99	8691	252054
100	8779	251996
101	8866	251905
102	8954	251854
103	9061	252337
104	9163	252652
105	9309	254159
106	9411	254464
107	9529	255186
108	9647	255879
109	9755	256313
110	9851	256400
111	9944	256415
112	10044	256614
113	10140	256702
114	10230	256645
115	10375	257965
116	10435	257151
117	10475	255862
118	10608	256833
119	10703	256873
120	10819	257425
121	10916	257516
122	10995	257197
123	11094	257330
124	11177	257081
125	11272	257120
126	11416	258254
127	11496	257961
128	11603	258238
129	11701	258338
130	11808	258625
131	11939	259418
132	12058	259932
133	12199	260913
134	12302	261085
135	12500	263250
136	12582	262955
137	12678	262931
138	12703	261470
139	12799	261471
140	12848	260523
141	12966	260977
142	13057	260879
143	13160	261009
144	13289	261662
145	13413	262209
146	13584	263643
147	13707	264155
148	13819	264423
149	13935	264783
150	14048	265065
151	14158	265279
152	14279	265708
153	14361	265413
154	14489	265959
155	14603	266226
156	14706	266307
157	14799	266194
158	14929	266760
159	15063	267371
160	15203	268083
161	15339	268719
162	15478	269395
163	15580	269428
164	15757	270739
165	15851	270621
166	15995	271349
167	16131	271938
168	16270	272547
169	16399	273000
170	16538	273606
171	16677	274216
172	16873	275728
173	16987	275893
174	17118	276346
175	17243	276675
176	17362	276921
177	17477	277093
178	17624	277760
179	17775	278486
180	17969	279867
181	18071	279817
182	18196	280105
183	18340	280688
184	18462	280923
185	18566	280891
186	18701	281316
187	18795	281139
188	18901	281128
189	19068	282013
190	19103	280955
191	19128	279758
192	19242	279867
193	19353	279933
194	19474	280137
195	19527	279358
196	19634	279364
197	19745	279428
198	19864	279593
199	19973	279631
200	20150	280609
201	20240	280367
202	20337	280221
203	20457	280394
204	20573	280504
205	20660	280225
206	20757	280073
207	20878	280252
208	20978	280147
209	21087	280158
210	21269	281133
211	21361	280922
212	21469	280914
213	21571	280837
214	21690	280973
215	21794	280902
216	21881	280629
217	22004	280808
218	22112	280799
219	22204	280578
220	22229	279524
221	22372	279957
222	22463	279736
223	22565	279647
224	22670	279597
225	22780	279613
226	22840	279012
227	22964	279198
228	23104	279572
229	23222	279677
230	23420	280738
231	23506	280460
232	23636	280690
233	23738	280602
234	23859	280725
235	24010	281207
236	24160	281670
237	24300	282008
238	24419	282102
239	24609	283011
240	24641	282102
241	24726	281797
242	24845	281893
243	24984	282207
244	25135	282642
245	25248	282656
246	25407	283184
247	25452	282435
248	25624	283109
249	25715	282868
250	25836	282962
251	25971	283212
252	26124	283651
253	26260	283903
254	26388	284063
255	26526	284335
256	26750	285515
257	26841	285269
258	26982	285560
259	27117	285777
260	27256	286037
261	27366	285990
262	27498	286175
263	27540	285419
264	27706	285956
265	27876	286524
266	28047	287090
267	28203	287512
268	28358	287907
269	28482	287990
270	28634	288356
271	28774	288587
272	28993	289620
273	29119	289705
274	29248	289824
275	29383	289998
276	29534	290334
277	29688	290692
278	29850	291123
279	30088	292289
280	30181	292042
281	30310	292137
282	30482	292653
283	30620	292840
284	30788	293298
285	30954	293742
286	31148	294445
287	31260	294371
288	31394	294501
289	31541	294746
290	31677	294892
291	31819	295095
292	31952	295208
293	32099	295444
294	32333	296478
295	32453	296468
296	32583	296543
297	32720	296678
298	32854	296792
299	32996	296965
300	33108	296877
301	33232	296888
302	33415	297435
303	33515	297227
304	33650	297336
305	33767	297287
306	33902	297388
307	34035	297483
308	34171	297590
309	34294	297590
310	34543	298670
311	34642	298461
312	34760	298411
313	34903	298571
314	35032	298609
315	35176	298775
316	35322	298963
317	35504	299447
318	35732	300310
319	35847	300220
320	35965	300161
321	36104	300268
322	36220	300194
323	36322	299996
324	36449	300008
325	36574	300003
326	36826	301032
327	36927	300825
328	36985	300271
329	37129	300410
330	37267	300506
331	37392	300491
332	37519	300492
333	37671	300698
334	37851	301120
335	38006	301335
336	38122	301248
337	38292	301581
338	38451	301826
339	38576	301803
340	38703	301797
341	38824	301743
342	39000	302112
343	39155	302315
344	39252	302074
345	39383	302091
346	39522	302172
347	39684	302422
348	39837	302602
349	40006	302909
350	40240	303693
351	40361	303624
352	40506	303742
353	40643	303789
354	40757	303675
355	40878	303606
356	40999	303535
357	41139	303606
358	41340	304125
359	41451	303974
360	41593	304061
361	41699	303878
362	41814	303759
363	41946	303768
364	42097	303907
365	42236	303966
366	42455	304592
367	42551	304334
368	42693	304404
369	42856	304628
370	43004	304738
371	43136	304741
372	43251	304615
373	43382	304606
374	43585	305099
375	43692	304918
376	43839	305019
377	43999	305204
378	44143	305274
379	44302	305455
380	44461	305626
381	44693	306299
382	44804	306141
383	44956	306267
384	45102	306343
385	45227	306280
386	45365	306304
387	45487	306218
388	45627	306254
389	45837	306755
390	45971	306748
391	46120	306843
392	46255	306837
393	46388	306826
394	46528	306852
395	46643	306718
396	46780	306724
397	46968	307067
398	47079	306902
399	47225	306967
400	47369	307013
401	47471	306790
402	47601	306748
403	47744	306794
404	47871	306730
405	48082	307208
406	48187	307001
407	48307	306892
408	48413	306697
409	48533	306587
410	48645	306429
411	48785	306449
412	48844	305955
413	48987	305993
414	49169	306272
415	49291	306178
416	49424	306145
417	49558	306124
418	49677	306009
419	49807	305962
420	49943	305949
421	50100	306067
422	50294	306403
423	50422	306340
424	50578	306444
425	50733	306544
426	50860	306474
427	50966	306274
428	51099	306242
429	51243	306267
430	51437	306597
431	51563	306513
432	51688	306428
433	51837	306486
434	51972	306460
435	52094	306353
436	52234	306355
437	52449	306793
438	52577	306721
439	52698	306611
440	52845	306650
441	52992	306683
442	53127	306653
443	53267	306647
444	53403	306619
445	53629	307109
446	53728	306867
447	53838	306689
448	53958	306567
449	54061	306349
450	54175	306195
