Candidate,Fold,Best Threshold,Micro F1,Macro F1,Sample F1,Hamming Loss,Exact Match Accuracy,min_cuisine_samples,max_name_features,ngram_max,tfidf_min_df,C
1,1,0.65,0.5136574234147017,0.29517825617803917,0.5288803743789907,0.027081873281631457,0.22323965898326492,10,3000,2,2,1.0
1,2,0.6,0.5163535142658316,0.30165607716570686,0.5373559754798262,0.029438492995602517,0.20366277233975372,10,3000,2,2,1.0
1,3,0.65,0.5214191487884469,0.2922132927253246,0.5318013996045285,0.02655116096328367,0.22015161086544535,10,3000,2,2,1.0
2,1,0.6,0.491493151526319,0.2769539324817475,0.5221085724600835,0.03187982779733071,0.19450584149036942,10,5000,2,2,0.5
2,2,0.65,0.49718710702230456,0.29692562315441695,0.5209922432056944,0.02925366007685969,0.20871487211872433,10,5000,2,2,0.5
2,3,0.7,0.5006213904525184,0.29057812073165895,0.5111528934589208,0.02631234303499068,0.22615287428932407,10,5000,2,2,0.5
3,1,0.6,0.4941031182463723,0.27941629754277,0.5239960331360275,0.03154866881791647,0.19703189137985475,10,3000,2,1,0.5
3,2,0.65,0.4982050259274033,0.2959876155821635,0.5207117366021692,0.02906497647230972,0.20745184717398168,10,3000,2,1,0.5
3,3,0.7,0.503448275862069,0.2942172515040354,0.5143573502641356,0.026069673204628444,0.2289955780164245,10,3000,2,1,0.5
4,1,0.65,0.5234899328859061,0.42514561266405376,0.5335477468832225,0.05557478083185024,0.22300771208226222,30,2000,1,2,0.5
4,2,0.6,0.5256255854409206,0.41497278053963926,0.5465645046541576,0.058417375255421525,0.21465295629820053,30,2000,1,2,0.5
4,3,0.65,0.5376531129955787,0.4431263450842823,0.550033184897751,0.05255915892162679,0.24196658097686374,30,2000,1,2,0.5
5,1,0.65,0.5108621396365624,0.29359320186663485,0.5268419729196304,0.027570910379138523,0.21408272813388066,10,5000,1,2,1.0
5,2,0.65,0.5127272727272727,0.30431745769672375,0.5291748624318879,0.027863562500481335,0.21313545942532364,10,5000,1,2,1.0
5,3,0.65,0.5199201816555425,0.2956204035143817,0.5306835340617995,0.02687472073709998,0.21762476310802273,10,5000,1,2,1.0
6,1,0.65,0.5401281220758656,0.35571796389298005,0.5441512746024235,0.03568536112647106,0.23049984081502706,20,3000,2,1,2.0
6,2,0.65,0.5441378810920414,0.34025820195906614,0.5476174851334087,0.03517152754497709,0.2372611464968153,20,3000,2,1,2.0
6,3,0.65,0.5376375217139548,0.33521851950405074,0.5432480297064411,0.035691138674712256,0.2321656050955414,20,3000,2,1,2.0
7,1,0.6,0.49947352121399813,0.2806450422641794,0.5300435776689784,0.03111739200751654,0.20303125986738238,10,2000,1,1,0.5
7,2,0.6,0.49889516327031674,0.29207055129036924,0.5290098899884557,0.031436998929509345,0.1992421850331544,10,2000,1,1,0.5
7,3,0.7,0.5071107508658168,0.30533634481804106,0.5176451326863797,0.025765372941158344,0.23404927353126975,10,2000,1,1,0.5
8,1,0.6,0.5274580730023019,0.3120513213223586,0.5531259176304443,0.02766717752431708,0.23176507736027788,10,5000,1,1,0.5
8,2,0.65,0.5258952974980727,0.33010965020531297,0.5437042283530742,0.026049889485317335,0.23902747079254816,10,5000,1,1,0.5
8,3,0.7,0.5354719309068476,0.3369053315387537,0.5422141152873938,0.02320385806511255,0.2624763108022742,10,5000,1,1,0.5
