Feature,Mean Absolute Coefficient
Restaurant Name: pizza,1.6827517015973819
Restaurant Name: cafe,1.5511897077181536
Restaurant Name: restaurant,1.3669779036347798
Restaurant Name: biryani,1.3516997138110711
Restaurant Name: subway,1.332040343750504
Country Code_1,1.28333766030544
Is delivering now_No,1.266228152722236
Restaurant Name: kitchen,1.2404231076877001
Has Table booking_No,1.179040485542869
Restaurant Name: the,1.1644935596996788
Has Online delivery_No,1.140521877782943
Restaurant Name: burger,1.067951418233319
Restaurant Name: coffee,1.041240174620982
Restaurant Name: china,1.008629749279062
Restaurant Name: dhaba,0.9841570364901218
Country Code_216,0.9652132989726825
Restaurant Name: giani,0.9629969640837227
Restaurant Name: sweets,0.952551562440124
Has Table booking_Yes,0.9479370607453942
Restaurant Name: bakery,0.9447182743916195
Restaurant Name: bikanervala,0.9259058936571514
Restaurant Name: sushi,0.9251613389503782
Restaurant Name: food,0.9103653542569679
Restaurant Name: mcdonald,0.8991149537505904
Has Online delivery_Yes,0.896213330779809
Restaurant Name: bar,0.8956734148464272
Restaurant Name: bistro,0.8941889964355486
Restaurant Name: corner,0.8772097384939503
Restaurant Name: asian,0.8733540898250131
Restaurant Name: grill,0.8713388042095372
Restaurant Name: chicken,0.8685778814623932
Locality_DLF Phase 1,0.8606514452067561
Locality_Greater Kailash (GK) 1,0.8565596433293826
Restaurant Name: chinese,0.8364583617033038
Restaurant Name: cake,0.8346144630598886
Locality_Defence Colony,0.8341742296449385
Restaurant Name: house,0.8196196531496662
Locality_Connaught Place,0.817640107268048
Restaurant Name: kylin,0.8083869327574816
Restaurant Name: hotel,0.7994821455931835
Locality_Khan Market,0.7928044527228123
Country Code_189,0.7914917616128317
Restaurant Name: chaayos,0.7858843230120509
Country Code_30,0.7842134937956569
Restaurant Name: by,0.7722142356112707
Price range,0.7683425655584597
Locality_Vijay Nagar,0.7614582042921999
"Locality_DLF Mall of India, Sector 18,  Noida",0.7564279935850831
Locality_Hauz Khas,0.7536643084969413
Restaurant Name: lounge,0.7455120349971004
Locality_Greater Kailash (GK) 2,0.73918746565573
Locality_MG Road,0.7337089724346677
Locality_Safdarjung,0.7327334973726131
Restaurant Name: and,0.7276090370308775
Locality_Satyaniketan,0.7235576055495266
Restaurant Name: thai,0.7221082070651738
City_Gurgaon,0.720243623863394
Restaurant Name: freshmenu,0.7175669292502884
Locality_Sector 29,0.7164827018551282
Locality_Golf Course Road,0.7117073882211924
Is delivering now_Yes,0.7053811678345446
Restaurant Name: keventers,0.6998755647971563
Locality_Paharganj,0.6923173085750874
Restaurant Name: haldiram,0.6921430609806984
Restaurant Name: on,0.6910478147475768
"Locality_Supermart 1, DLF Phase 4",0.6886969298612056
Locality_DLF Phase 3,0.6857338358608331
Restaurant Name: co,0.6825914394688102
Restaurant Name: of,0.680579244303201
Restaurant Name: new,0.6793857732417004
Restaurant Name: punjabi,0.6792162078696486
Locality_Hauz Khas Village,0.6750430440465127
Restaurant Name: japanese,0.6740582911229793
Restaurant Name: spice,0.663846923429018
Restaurant Name: street,0.6627972704462679
City_Noida,0.6612088027321402
Restaurant Name: kabab,0.6604904864009533
Restaurant Name: bakers,0.6576385807206989
Locality_Rajouri Garden,0.6557041070908581
Restaurant Name: kfc,0.6550027746061149
Restaurant Name: big,0.6471392760123902
Restaurant Name: nation,0.6447689681191617
City_New Delhi,0.6399845101565115
"Locality_Cyber Hub, DLF Cyber City",0.6388437032453517
Locality_Shahpur Jat,0.6384255178097038
City_Rio de Janeiro,0.6378644489659139
Restaurant Name: tea,0.6315834862873856
Restaurant Name: rasoi,0.6294446636607927
Aggregate rating,0.6270621414068315
"Locality_DLF South Point Mall, Golf Course Road",0.6267527152615271
