Candidate,Fold,Best Threshold,Micro F1,Macro F1,Sample F1,Hamming Loss,Exact Match Accuracy,min_cuisine_samples,max_name_features,ngram_max,tfidf_min_df,hidden_layer_sizes,alpha,learning_rate_init
1,1,0.3,0.592674982124414,0.33643352926448206,0.5776083639025377,0.028636538815998928,0.2693409742120344,20,3000,2,1,"(256,)",0.0001,0.001
1,2,0.3,0.5978032250525824,0.3449088592359177,0.5844718462712094,0.02884679852497486,0.2805732484076433,20,3000,2,1,"(256,)",0.0001,0.001
1,3,0.3,0.5979887560376911,0.3345416685750239,0.583355483865038,0.028366297910381047,0.278343949044586,20,3000,2,1,"(256,)",0.0001,0.001
2,1,0.25,0.5914309296916035,0.24082277139225794,0.5792050369726404,0.020966984219889562,0.2510262077676034,10,2000,2,2,"(256,)",0.0001,0.001
2,2,0.3,0.5815382222567851,0.24887914516170687,0.5716356933597224,0.020720540328232458,0.27123460688348594,10,2000,2,2,"(256,)",0.0001,0.001
2,3,0.35,0.5886967659301954,0.2557972095043451,0.5716597100520032,0.019791072831764324,0.28111181301326593,10,2000,2,2,"(256,)",0.0001,0.001
3,1,0.35,0.5924383210509452,0.3452524067178812,0.5774237542145851,0.02841870674776722,0.2737981534543139,20,2000,1,2,"(256,)",0.0001,0.001
3,2,0.3,0.5920367534456356,0.35384817410615915,0.5829416249002236,0.02976868923902112,0.27261146496815286,20,2000,1,2,"(256,)",0.0001,0.001
3,3,0.3,0.59383176088163,0.33288361687207746,0.5786499116594658,0.028623309867024247,0.2640127388535032,20,2000,1,2,"(256,)",0.0001,0.001
4,1,0.3,0.5812691672564284,0.2717998959664196,0.5696008268474325,0.020504901923032493,0.2652352383959583,10,2000,1,1,"(256,)",0.001,0.001
4,2,0.3,0.5917277167277167,0.23547816503421848,0.5822817658782294,0.020601169068211047,0.2718661193558573,10,2000,1,1,"(256,)",0.001,0.001
4,3,0.4,0.58640808612047,0.28858281093598903,0.5702668742782451,0.019386623114493937,0.295641187618446,10,2000,1,1,"(256,)",0.001,0.001
5,1,0.25,0.5975078357923707,0.43438208332764067,0.5838853404165101,0.04338046272493573,0.25482005141388175,30,3000,1,2,"(128,)",0.001,0.001
5,2,0.3,0.6002869897959183,0.49081658615207685,0.5937007900696847,0.041312372289236045,0.2847043701799486,30,3000,1,2,"(128,)",0.001,0.001
5,3,0.3,0.6079674414964389,0.4472751657510234,0.5969261494004425,0.041271175268604576,0.2741002570694087,30,3000,1,2,"(128,)",0.001,0.001
6,1,0.3,0.584031007751938,0.35424075232108165,0.5704042517318544,0.029971458413624,0.25851639605221266,20,3000,1,2,"(128,)",0.0001,0.001
6,2,0.3,0.5930432069879894,0.3338964216831145,0.581365812177914,0.029154095429656943,0.27261146496815286,20,3000,1,2,"(128,)",0.0001,0.001
6,3,0.25,0.5882083746472427,0.36543958604276167,0.5803723470443216,0.03016538160688345,0.2611464968152866,20,3000,1,2,"(128,)",0.0001,0.001
