Cuisine,Precision,Recall,F1-score,Support
Mithai,0.8870967741935484,0.8208955223880597,0.8527131782945736,67.0
Raw Meats,0.8571428571428571,0.8,0.8275862068965517,15.0
Pizza,0.9130434782608695,0.75,0.8235294117647058,56.0
Ice Cream,0.9615384615384616,0.6944444444444444,0.8064516129032258,36.0
Salad,1.0,0.6666666666666666,0.8,6.0
North Indian,0.6721728081321474,0.9011925042589438,0.7700145560407569,587.0
Bakery,0.8494623655913979,0.6171875,0.7149321266968326,128.0
Biryani,0.7083333333333334,0.5862068965517241,0.6415094339622641,29.0
Street Food,0.6097560975609756,0.625,0.6172839506172839,80.0
Chinese,0.5473484848484849,0.706601466992665,0.6168623265741728,409.0
Burger,0.5517241379310345,0.6666666666666666,0.6037735849056604,24.0
Cafe,0.543859649122807,0.6019417475728155,0.5714285714285714,103.0
Healthy Food,0.6666666666666666,0.5,0.5714285714285714,8.0
Fast Food,0.4984984984984985,0.5949820788530465,0.5424836601307189,279.0
Indian,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
Mughlai,0.5073529411764706,0.46621621621621623,0.4859154929577465,148.0
American,0.6111111111111112,0.4,0.4835164835164835,55.0
Continental,0.41509433962264153,0.5689655172413793,0.48,116.0
Italian,0.4244604316546763,0.5221238938053098,0.46825396825396826,113.0
Tea,1.0,0.3,0.46153846153846156,10.0
Desserts,0.5180722891566265,0.4056603773584906,0.455026455026455,106.0
South Indian,0.484375,0.36904761904761907,0.4189189189189189,84.0
Thai,0.55,0.3333333333333333,0.41509433962264153,33.0
Beverages,0.7058823529411765,0.2727272727272727,0.39344262295081966,44.0
Seafood,0.4090909090909091,0.28125,0.3333333333333333,32.0
Sushi,0.5,0.21428571428571427,0.3,14.0
Mexican,0.6363636363636364,0.19444444444444445,0.2978723404255319,36.0
Japanese,0.5,0.20689655172413793,0.2926829268292683,29.0
Steak,1.0,0.125,0.2222222222222222,8.0
European,0.2857142857142857,0.15384615384615385,0.2,26.0
Bar Food,0.5,0.125,0.2,8.0
Asian,0.3333333333333333,0.13636363636363635,0.1935483870967742,44.0
Lebanese,1.0,0.09090909090909091,0.16666666666666666,11.0
Sandwich,0.16666666666666666,0.1111111111111111,0.13333333333333333,9.0
Finger Food,0.0,0.0,0.0,25.0
Mediterranean,0.0,0.0,0.0,17.0
Tibetan,0.0,0.0,0.0,7.0
Breakfast,0.0,0.0,0.0,6.0
BBQ,0.0,0.0,0.0,3.0
