Cuisine,Rank,Feature,Coefficient
American,1,Restaurant Name: subway,7.851210481648722
American,2,Restaurant Name: kfc,6.094972038137529
American,3,Locality_Sector 33,5.322971054034271
American,4,Restaurant Name: machine,4.265903951164007
American,5,Restaurant Name: chili,3.9025330565798937
American,6,Restaurant Name: jack,3.7540419797285063
American,7,Restaurant Name: cube,3.553573879005852
American,8,Restaurant Name: social,3.4434029690774937
American,9,Restaurant Name: wiches,3.393909860965856
American,10,Restaurant Name: pepper kitchen,3.373418927129726
American,11,Restaurant Name: baby,3.3299557258683268
American,12,Restaurant Name: avenue,3.2166596782379187
American,13,Restaurant Name: lala,3.1983021227391637
American,14,Locality_Koramangala 5th Block,3.06869877936785
American,15,Restaurant Name: cafe bar,3.066498919712696
Arabian,1,Restaurant Name: arabian,7.506564622290475
Arabian,2,Restaurant Name: zizo,6.287297009949931
Arabian,3,Locality_Al Dhafrah,5.396112882504309
Arabian,4,"Locality_The Gate, Dafna",4.955583996790963
Arabian,5,Locality_Sarita Vihar,4.507387437988747
Arabian,6,Restaurant Name: al,4.454480367513463
Arabian,7,Restaurant Name: habibi,4.202481867396731
Arabian,8,Locality_Vila Sonia,4.106986721518481
Arabian,9,Restaurant Name: pan,4.0707622918536215
Arabian,10,Restaurant Name: pita,4.017711065712679
Arabian,11,Locality_Kailash Colony,3.8926064349835725
Arabian,12,Restaurant Name: delites,3.6744336782906424
Arabian,13,Restaurant Name: arabian delites,3.6744336782906424
Arabian,14,Locality_Asa Sul,3.627280009061505
Arabian,15,Restaurant Name: pier,3.3450343217944996
Asian,1,Restaurant Name: kylin,5.6029579741599145
Asian,2,Locality_Yusuf Sarai,5.277679128454514
Asian,3,Restaurant Name: house restaurant,4.621767499072606
Asian,4,Restaurant Name: zasty,4.578870461594775
Asian,5,Restaurant Name: fat,4.331168431677712
Asian,6,Locality_Vasant Kunj,4.197111492991339
Asian,7,Locality_Sector 53,4.138511118810169
Asian,8,Restaurant Name: social,3.8580572075492445
Asian,9,Restaurant Name: do,3.845486813342952
Asian,10,Locality_Bhawar Kuan,3.537974098010641
Asian,11,Restaurant Name: mongolian,3.5226085505135916
Asian,12,Restaurant Name: thai,3.507600860935224
Asian,13,"Locality_Spice World Mall, Sector 25",3.4384572089734866
Asian,14,Locality_Majnu ka Tila,3.39857112333302
Asian,15,Restaurant Name: fire,3.394139295322761
BBQ,1,Restaurant Name: pig,4.4476258668755895
BBQ,2,Restaurant Name: bbq,4.315328672423987
BBQ,3,Restaurant Name: country,3.8258093910663447
BBQ,4,Restaurant Name: roma,3.607998526774699
BBQ,5,Restaurant Name: que,3.4551037111705747
BBQ,6,City_Dalton,3.2906292781850928
BBQ,7,Locality_Windermere,3.183869275814298
BBQ,8,Locality_Clearwater,2.943004725427895
BBQ,9,Restaurant Name: barbecue,2.926163346180827
BBQ,10,Restaurant Name: texas roadhouse,2.9020569659248947
BBQ,11,Restaurant Name: roadhouse,2.9020569659248947
BBQ,12,Locality_Calhoun,2.8643477678494595
BBQ,13,Locality_Beaverdale,2.6880901804354016
BBQ,14,Restaurant Name: tony,2.520828817402318
BBQ,15,Restaurant Name: texas,2.4530318639228343
Bakery,1,Restaurant Name: bakery,8.063733936538739
Bakery,2,Restaurant Name: cake,7.947464294863822
Bakery,3,Restaurant Name: bakers,6.397610795333045
Bakery,4,Restaurant Name: cakes,5.712857950796076
Bakery,5,Restaurant Name: pastry,5.334968358037678
