Candidate,Fold,RMSE,MAE,R2,Best Iteration,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature
1,1,0.30464759614163506,0.20182603531731744,0.9602780682390679,788,8,0.03,5,1.0,1
1,2,0.3116254712685479,0.2106186319917272,0.9577738097072646,776,8,0.03,5,1.0,1
1,3,0.30489255739448545,0.20338936184850195,0.9598452041425807,779,8,0.03,5,1.0,1
2,1,0.3056410449424637,0.20157507906485864,0.9600185812263237,799,8,0.03,7,0.5,0
2,2,0.3111332647760024,0.21075593407353851,0.9579070952885947,795,8,0.03,7,0.5,0
2,3,0.30651225894851625,0.20434258134600597,0.9594174367952926,795,8,0.03,7,0.5,0
3,1,0.3028130489968104,0.20098416641710815,0.9607550281456977,799,10,0.05,7,0.5,0
3,2,0.3144012407683867,0.21436603631567117,0.9570182091527742,749,10,0.05,7,0.5,0
3,3,0.3078852641100184,0.2045954259763008,0.9590530476745269,600,10,0.05,7,0.5,0
4,1,0.3079598181381799,0.20250593026009037,0.9594096348043814,799,10,0.02,9,0.5,0
4,2,0.315127523563558,0.21266062119371643,0.9568193995585591,798,10,0.02,9,0.5,0
4,3,0.30819897056818873,0.2058782183800415,0.9589695628899001,799,10,0.02,9,0.5,0
5,1,0.3074455506236212,0.2047257258183508,0.9595450867420061,798,8,0.03,9,2.0,1
5,2,0.3132526217145829,0.21418832913285168,0.9573316908763756,799,8,0.03,9,2.0,1
5,3,0.3065900953071465,0.20629662702605883,0.9593968229377551,799,8,0.03,9,2.0,1
6,1,0.30619555120544817,0.20151922313546794,0.9598733778363696,799,6,0.03,7,0.5,1
6,2,0.31098527954948046,0.20990893953203954,0.9579471273093042,792,6,0.03,7,0.5,1
6,3,0.3057275533939283,0.20425642968965307,0.9596249625825858,798,6,0.03,7,0.5,1
7,1,0.30799250495430275,0.20278029683732549,0.9594010178346537,799,6,0.02,5,0.5,1
7,2,0.3127265848539254,0.2108094795081622,0.9574748740843776,799,6,0.02,5,0.5,1
7,3,0.30594381101709023,0.20500300821430315,0.9595678234884545,798,6,0.02,5,0.5,1
8,1,0.3070887411909822,0.20415888685849132,0.9596389330731253,798,10,0.02,3,2.0,0
8,2,0.3134964599478797,0.21375793754471972,0.9572652383474339,795,10,0.02,3,2.0,0
8,3,0.3069289485290525,0.2064145433137785,0.9593070214682651,799,10,0.02,3,2.0,0
