Feature,Importance
Log Votes,84.98962316940654
Popularity Category,2.9448039898843925
Cuisines,1.5163462410598187
Latitude,1.1345083456481395
City Restaurant Count,1.0103833785522314
Restaurant Cost Category,0.942854398932492
Location Cluster,0.8908926582494464
City wise Cost Category,0.8341054913105582
Country Code,0.8177478270029606
Longitude,0.7880768466904609
City Location Cluster,0.6345332975098515
City,0.6050860788253737
Cuisine Count,0.5570887748800463
Cost Relative To City,0.4144847964708258
Average Cost INR,0.39317678098330955
Average Cost for two,0.3422504074993115
Has Online delivery,0.25875182032834715
Log Average Cost INR,0.2447910299298717
Price range,0.22067046815879837
Has Delivery Or Booking,0.21963224590332678
Has Table booking,0.11388000328524239
Is Expensive,0.06721424014866538
Is delivering now,0.05909770934003487
