Candidate,Fold,RMSE,MAE,R2,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,reg_lambda
1,1,0.30158869811341166,0.19577952477285665,0.9610717415611352,8,0.03,1200,0.9,0.9,5
1,2,0.3063650898487911,0.20350001072358245,0.9591873724208619,8,0.03,1200,0.9,0.9,5
1,3,0.303528596001687,0.20013286250056678,0.9602036719495027,8,0.03,1200,0.9,0.9,5
2,1,0.30191310298692897,0.19743659088933574,0.960987949901919,6,0.03,1200,0.8,0.8,3
2,2,0.30676485675198745,0.20408091240004092,0.959080792506145,6,0.03,1200,0.8,0.8,3
2,3,0.3035681820818077,0.2012600542533586,0.9601932908296891,6,0.03,1200,0.8,0.8,3
3,1,0.30553511509915493,0.20109713876410518,0.9600462901454527,8,0.05,1200,0.8,0.8,3
3,2,0.31074786425036044,0.20748489992006097,0.9580113115969046,8,0.05,1200,0.8,0.8,3
3,3,0.30855055581085195,0.2046147639960615,0.9588758966171812,8,0.05,1200,0.8,0.8,3
4,1,0.3035540119973986,0.19976293638439796,0.9605627335965785,8,0.02,1200,0.9,0.8,3
4,2,0.3097049007666319,0.20743216761501582,0.9582926919896061,8,0.02,1200,0.9,0.8,3
4,3,0.3052919541106922,0.2038175858887464,0.9597399329736009,8,0.02,1200,0.9,0.8,3
5,1,0.30124106869342177,0.19565128519100156,0.9611614319821271,6,0.03,1200,0.9,0.9,7
5,2,0.30409633941883446,0.20181689078592263,0.959789600440328,6,0.03,1200,0.9,0.9,7
5,3,0.30150116626538426,0.19953109334830313,0.9607335382836677,6,0.03,1200,0.9,0.9,7
6,1,0.3022742308825695,0.19819334202664146,0.9608945669703848,4,0.03,1200,0.8,0.8,5
6,2,0.3060457208694403,0.20434700154350718,0.9592724179686591,4,0.03,1200,0.8,0.8,5
6,3,0.3041584970420032,0.20399047528169725,0.9600383250277962,4,0.03,1200,0.8,0.8,5
7,1,0.3095240795853841,0.20271838767563288,0.95899623541726,4,0.02,800,0.9,0.8,5
7,2,0.3107452558905174,0.20831678154077354,0.9580120164844461,4,0.02,800,0.9,0.8,5
7,3,0.3089015919740504,0.2072875436415334,0.9587822700843628,4,0.02,800,0.9,0.8,5
8,1,0.3018961151367088,0.19575681286684934,0.9609923399877566,8,0.02,800,0.8,0.9,5
8,2,0.30612650854152323,0.203053926176485,0.9592509132026051,8,0.02,800,0.8,0.9,5
8,3,0.30311711861754703,0.20028435609594414,0.9603114982935845,8,0.02,800,0.8,0.9,5
